Indicator,Disaggregation combinations using this value
#1-1-1,17
#1-2-1,15
#1-3-1,1
#1-4-1,1
#1-a-1,1
#1-a-2,5
#1-b-1,1
#10-4-1,1
#10-7-4,1
#11-1-1,11
#11-3-1,1
#11-7-1,1
#11-7-2,1
#12-5-1,1
#12-6-1,1
#13-1-1,4
#13-1-2,1
#13-1-3,1
#13-2-2,1
#13-3-1,4
#13-a-1,1
#13-b-1,1
#14-3-1,1
#15-1-1,1
#15-2-1,2
#15-3-1,1
#16-1-1,3
#16-1-3,40
#16-1-4,2
#16-2-1,1
#16-2-2,3
#16-3-1,3
#16-3-2,1
#16-4-1,1
#16-6-1,1
#16-7-1,3
#16-8-1,2
#16-9-1,15
#16-b-1,3
#17-1-1,1
#17-1-2,1
#17-11-1,1
#17-3-1,1
#17-3-2,1
#17-4-1,1
#17-8-1,12
#2-1-2,3
#2-2-1,15
#2-2-2,15
#2-2-4,11
#2-3-1,2
#2-4-1,1
#2-a-1,1
#2-c-1,1
#3-1-1,11
#3-1-2,13
#3-2-1,18
#3-2-2,15
#3-3-1,1
#3-3-2,1
#3-3-3,1
#3-4-2,1
#3-6-1,1
#3-7-1,13
#3-7-2,6
#3-8-1,1
#3-8-2,2
#3-a-1,2
#3-b-1,54
#3-b-3,1
#3-d-1,1
#4-1-1,6
#4-1-2,39
#4-2-1,1
#4-2-2,15
#4-3-1,1
#4-4-1,4
#4-5-1,2
#4-6-1,3
#4-c-1,4
#5-2-1,1
#5-2-2,1
#5-5-1,2
#5-5-2,1
#5-6-1,13
#5-a-1,1
#5-a-2,1
#5-b-1,12
#6-1-1,1
#6-2-1,3
#6-3-1,2
#6-3-2,1
#6-4-1,1
#6-4-2,1
#6-5-1,1
#6-5-2,1
#6-6-1,1
#7-1-1,1
#7-1-2,1
#7-2-1,1
#7-3-1,1
#7-a-1,1
#8-1-1,1
#8-10-1,2
#8-10-2,1
#8-2-1,1
#8-5-2,32
#8-6-1,34
#8-7-1,1
#8-8-1,1
#8-9-1,1
#8-9-2,1
#9-1-2,1
#9-2-1,1
#9-2-2,1
#9-3-1,1
#9-3-2,1
#9-c-1,1
