Year,Source details,Reference area,GeoCode,Value
2019,"ZIMSTAT, Labourforce Survey",,,0.33
2022,"Zimstat, 2022 PHC",,,1.1
2022,"Zimstat, 2022 PHC",Bulawayo,ZW_BA,0.26
2022,"Zimstat, 2022 PHC",Manicaland,ZW_MA,1.24
2022,"Zimstat, 2022 PHC",Mashonaland Central,ZW_MC,1.35
2022,"Zimstat, 2022 PHC",Masholanad East,ZW_ME,1.37
2022,"Zimstat, 2022 PHC",Mashonaland West,ZW_MW,1.14
2022,"Zimstat, 2022 PHC",Matabeland North,ZW_MN,0.85
2022,"Zimstat, 2022 PHC",Matabeland South,ZW_MS,1.91
2022,"Zimstat, 2022 PHC",Midlands,ZW_MI,0.83
2022,"Zimstat, 2022 PHC",Masvingo,ZW_MV,0.26
2022,"Zimstat, 2022 PHC",Harare,ZW_HA,1.45
