Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,,166
2017,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,,14
2018,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,,3
2019,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,,4
2020,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,,2
2021,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,,0
2022,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,,127
2023,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,,4
2024,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,,12
2017,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Female,Number,,12
2023,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Female,Number,,2
2024,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Female,Number,,11
2017,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Male,Number,,2
2023,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Male,Number,,2
2024,Normal value,Units,Social_Welfare,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Male,Number,,1
