Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,2.0
2016,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,1.67
2017,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,1.41
2018,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,3.04
2019,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,0.96
2020,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,0.57
2021,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,0.86
2022,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,1.03
2023,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,1.6
2024,Foreign direct investment (FDI) inflows [17.3.1],,Percent,Normal value,Units,,1.33
