Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2020,Normal value,Units,GOZ,Proportion of individuals using the Internet [17.8.1],,,,Percent,,29.3
2023,Normal value,Units,GOZ,Proportion of individuals using the Internet [17.8.1],,,,Percent,,22.0
2019,Normal value,Units,ZIMSTAT_MICS_Report_2019,Proportion of individuals using the Internet [17.8.1],,,Rural,Percent,,19.9
2019,Normal value,Units,ZIMSTAT_MICS_Report_2019,Proportion of individuals using the Internet [17.8.1],,,Urban,Percent,,50.1
2014,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],,Female,,Percent,,16.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],,Female,,Percent,,30.3
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],,Female,,Percent,,34.2
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Bulawayo,,,Percent,ZW_BA,39.6
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Bulawayo,,,Percent,ZW_BA,60.3
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Bulawayo,,,Percent,ZW_BA,38.6
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Harare,,,Percent,ZW_HA,46.4
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Harare,,,Percent,ZW_HA,53.8
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Harare,,,Percent,ZW_HA,54.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Manicaland,,,Percent,ZW_MA,32.6
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Manicaland,,,Percent,ZW_MA,17.8
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Manicaland,,,Percent,ZW_MA,27.4
