Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,-3.3
2016,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,-3.3
2017,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,2.5
2018,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,14.8
2019,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,15.75
2020,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,30.1
2021,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,23.4
2022,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,58.7
2023,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,-4.9
2024,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Percent,Normal value,Units,,9.39
