Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Proportion of births attended by skilled health personnel [3.1.2],,,Percent,Normal value,Units,,78.0
2019,Proportion of births attended by skilled health personnel [3.1.2],,,Percent,Normal value,Units,,84.0
2023,Proportion of births attended by skilled health personnel [3.1.2],,,Percent,Normal value,Units,,88.0
2024,Proportion of births attended by skilled health personnel [3.1.2],,,Percent,Normal value,Units,,84.6
2024,Proportion of births attended by skilled health personnel [3.1.2],,Rural,Percent,Normal value,Units,,89.7
2024,Proportion of births attended by skilled health personnel [3.1.2],,Urban,Percent,Normal value,Units,,95.3
2024,Proportion of births attended by skilled health personnel [3.1.2],Bulawayo,,Percent,Normal value,Units,ZW_BA,95.6
2024,Proportion of births attended by skilled health personnel [3.1.2],Harare,,Percent,Normal value,Units,ZW_HA,95.6
2024,Proportion of births attended by skilled health personnel [3.1.2],Manicaland,,Percent,Normal value,Units,ZW_MA,68.0
2024,Proportion of births attended by skilled health personnel [3.1.2],Mashonaland Central,,Percent,Normal value,Units,ZW_MC,84.2
2024,Proportion of births attended by skilled health personnel [3.1.2],Masholanad East,,Percent,Normal value,Units,ZW_ME,85.1
2024,Proportion of births attended by skilled health personnel [3.1.2],Midlands,,Percent,Normal value,Units,ZW_MI,84.3
2024,Proportion of births attended by skilled health personnel [3.1.2],Matabeland North,,Percent,Normal value,Units,ZW_MN,94.1
2024,Proportion of births attended by skilled health personnel [3.1.2],Matabeland South,,Percent,Normal value,Units,ZW_MS,88.8
2024,Proportion of births attended by skilled health personnel [3.1.2],Masvingo,,Percent,Normal value,Units,ZW_MV,86.0
2024,Proportion of births attended by skilled health personnel [3.1.2],Mashonaland West,,Percent,Normal value,Units,ZW_MW,82.2
