Year,Observation status,Unit multiplier,Source details,Series,Reference area,Units,GeoCode,Value
2019,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,,PER_1000_LIVE_BIRTHS,,32.0
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,,PER_1000_LIVE_BIRTHS,,9.5
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Bulawayo,PER_1000_LIVE_BIRTHS,ZW_BA,8.1
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Harare,PER_1000_LIVE_BIRTHS,ZW_HA,9.0
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Manicaland,PER_1000_LIVE_BIRTHS,ZW_MA,9.2
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Mashonaland Central,PER_1000_LIVE_BIRTHS,ZW_MC,10.7
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Masholanad East,PER_1000_LIVE_BIRTHS,ZW_ME,11.1
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Midlands,PER_1000_LIVE_BIRTHS,ZW_MI,10.2
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Matabeland North,PER_1000_LIVE_BIRTHS,ZW_MN,6.0
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Matabeland South,PER_1000_LIVE_BIRTHS,ZW_MS,5.3
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Masvingo,PER_1000_LIVE_BIRTHS,ZW_MV,9.9
2022,Normal value,Units,Zimstat_2022_PHC,SH_DYN_NMRT,Mashonaland West,PER_1000_LIVE_BIRTHS,ZW_MW,9.8
