Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,Normal value,Units,,81.0
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,Normal value,Units,,78.7
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Rural,Percent,Normal value,Units,,76.1
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Urban,Percent,Normal value,Units,,83.7
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,,Percent,Normal value,Units,,78.8
2022,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,,Percent,Normal value,Units,,67.0
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,,Percent,Normal value,Units,,78.6
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Bulawayo,,,Percent,Normal value,Units,ZW_BA,89.1
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Harare,,,Percent,Normal value,Units,ZW_HA,83.7
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Manicaland,,,Percent,Normal value,Units,ZW_MA,77.8
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Mashonaland Central,,,Percent,Normal value,Units,ZW_MC,67.6
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Masholanad East,,,Percent,Normal value,Units,ZW_ME,84.0
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Midlands,,,Percent,Normal value,Units,ZW_MI,76.7
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Matabeland North,,,Percent,Normal value,Units,ZW_MN,86.2
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Matabeland South,,,Percent,Normal value,Units,ZW_MS,94.0
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Masvingo,,,Percent,Normal value,Units,ZW_MV,78.1
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],Mashonaland West,,,Percent,Normal value,Units,ZW_MW,69.0
