Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,,Percent,Normal value,Units,,31.9
2019,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,,Percent,Normal value,Units,,37.7
2023,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,,Percent,Normal value,Units,,37.0
2019,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,20 to 24 years old,Percent,Normal value,Units,,5.4
2022,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,20 to 24 years old,Percent,Normal value,Units,,16.2
2023,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,20 to 24 years old,Percent,Normal value,Units,,18.9
2024,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,20 to 24 years old,Percent,Normal value,Units,,32.8
2023,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,Normal value,Units,,35.0
2024,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,Normal value,Units,,35.0
2024,Number of seats held by women in national parliaments [5.5.1],,Female,,Number,Normal value,Units,,127.0
2024,Current number of seats in national parliaments [5.5.1],,Female,,Number,Normal value,Units,,360.0
