Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2017,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,Normal value,Units,,21.6
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,Normal value,Units,,33.7
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,Normal value,Units,,61.936167437294046
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,,Percent,Normal value,Units,,10.4
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Rural,Percent,Normal value,Units,,7.7
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Rural,Percent,Normal value,Units,,55.65878871101471
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Rural,Percent,Normal value,Units,,2.6
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Urban,Percent,Normal value,Units,,83.2
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Urban,Percent,Normal value,Units,,70.79708533995965
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],,Urban,Percent,Normal value,Units,,23.0
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Bulawayo,,Percent,Normal value,Units,ZW_BA,85.6
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Bulawayo,,Percent,Normal value,Units,ZW_BA,94.0933010992187
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Bulawayo,,Percent,Normal value,Units,ZW_BA,20.4
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Harare,,Percent,Normal value,Units,ZW_HA,87.2
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Harare,,Percent,Normal value,Units,ZW_HA,88.12671475002564
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Harare,,Percent,Normal value,Units,ZW_HA,21.5
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Manicaland,,Percent,Normal value,Units,ZW_MA,18.1
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Manicaland,,Percent,Normal value,Units,ZW_MA,50.54971265075429
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Manicaland,,Percent,Normal value,Units,ZW_MA,7.2
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland Central,,Percent,Normal value,Units,ZW_MC,11.3
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland Central,,Percent,Normal value,Units,ZW_MC,51.37132481069131
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland Central,,Percent,Normal value,Units,ZW_MC,5.6
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masholanad East,,Percent,Normal value,Units,ZW_ME,19.7
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masholanad East,,Percent,Normal value,Units,ZW_ME,56.75936229219795
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masholanad East,,Percent,Normal value,Units,ZW_ME,16.9
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Midlands,,Percent,Normal value,Units,ZW_MI,31.2
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Midlands,,Percent,Normal value,Units,ZW_MI,58.30603044542835
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Midlands,,Percent,Normal value,Units,ZW_MI,4.5
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland North,,Percent,Normal value,Units,ZW_MN,10.1
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland North,,Percent,Normal value,Units,ZW_MN,42.421770056245066
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland North,,Percent,Normal value,Units,ZW_MN,2.5
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland South,,Percent,Normal value,Units,ZW_MS,20.0
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland South,,Percent,Normal value,Units,ZW_MS,45.84930713496731
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland South,,Percent,Normal value,Units,ZW_MS,0.9
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masvingo,,Percent,Normal value,Units,ZW_MV,16.4
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masvingo,,Percent,Normal value,Units,ZW_MV,57.15525364300525
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masvingo,,Percent,Normal value,Units,ZW_MV,6.3
2019,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland West,,Percent,Normal value,Units,ZW_MW,23.9
2022,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland West,,Percent,Normal value,Units,ZW_MW,60.45453822724261
2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland West,,Percent,Normal value,Units,ZW_MW,10.2
