Year,SERIES,Reference area,Sex,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2022,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,,Percent,Normal value,Units,,70.6
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,,Percent,Normal value,Units,,78.0
2024,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,,Percent,Normal value,Units,,83.1
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,Female,Percent,Normal value,Units,,75.9
2024,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,Female,Percent,Normal value,Units,,83.2
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,Male,Percent,Normal value,Units,,74.3
2024,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,Male,Percent,Normal value,Units,,82.9
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Bulawayo,,Percent,Normal value,Units,ZW_BA,97.07187494944728
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Bulawayo,Female,Percent,Normal value,Units,ZW_BA,97.47348259541856
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Bulawayo,Male,Percent,Normal value,Units,ZW_BA,96.6544592933677
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Harare,,Percent,Normal value,Units,ZW_HA,95.05553359035748
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Harare,Female,Percent,Normal value,Units,ZW_HA,93.49233026939244
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Harare,Male,Percent,Normal value,Units,ZW_HA,96.24854691589584
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Manicaland,,Percent,Normal value,Units,ZW_MA,59.91598149102428
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Manicaland,Female,Percent,Normal value,Units,ZW_MA,61.94305110691543
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Manicaland,Male,Percent,Normal value,Units,ZW_MA,58.34407291340097
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Mashonaland Central,,Percent,Normal value,Units,ZW_MC,52.554898902413846
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Mashonaland Central,Female,Percent,Normal value,Units,ZW_MC,50.82537597741892
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Mashonaland Central,Male,Percent,Normal value,Units,ZW_MC,53.634499693757895
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Masholanad East,,Percent,Normal value,Units,ZW_ME,63.76583190252488
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Masholanad East,Female,Percent,Normal value,Units,ZW_ME,63.38631434533295
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Masholanad East,Male,Percent,Normal value,Units,ZW_ME,64.02800504495693
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Midlands,,Percent,Normal value,Units,ZW_MI,72.8411943013611
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Midlands,Female,Percent,Normal value,Units,ZW_MI,74.32932641389537
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Midlands,Male,Percent,Normal value,Units,ZW_MI,71.77756329562058
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Matabeland North,,Percent,Normal value,Units,ZW_MN,70.81953658200167
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Matabeland North,Female,Percent,Normal value,Units,ZW_MN,69.66959349745851
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Matabeland North,Male,Percent,Normal value,Units,ZW_MN,71.38979901803779
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Matabeland South,,Percent,Normal value,Units,ZW_MS,78.99911900955155
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Matabeland South,Female,Percent,Normal value,Units,ZW_MS,84.29586413154479
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Matabeland South,Male,Percent,Normal value,Units,ZW_MS,74.65929933910328
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Masvingo,,Percent,Normal value,Units,ZW_MV,75.47106446641897
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Masvingo,Female,Percent,Normal value,Units,ZW_MV,77.92680019856448
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Masvingo,Male,Percent,Normal value,Units,ZW_MV,73.63122240843086
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Mashonaland West,,Percent,Normal value,Units,ZW_MW,63.9645013956051
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Mashonaland West,Female,Percent,Normal value,Units,ZW_MW,63.55910274938772
2023,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Mashonaland West,Male,Percent,Normal value,Units,ZW_MW,64.20091677563138
