Year,Observation status,Unit multiplier,Source details,Series,Reference area,Sex,Age,Units,GeoCode,Value
2023,Normal value,Units,ZIMSTAT,SL_TLF_NEET_19ICLS,,,15 to 24 years old,PT,,45.4
2024,Normal value,Units,ZIMSTAT,SL_TLF_NEET_19ICLS,,,15 to 24 years old,PT,,27.9
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,,Female,15 to 24 years old,PT,,51.1
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,,Male,15 to 24 years old,PT,,39.8
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Bulawayo,,15 to 24 years old,PT,ZW_BA,39.798601920029824
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Bulawayo,Female,15 to 24 years old,PT,ZW_BA,42.36789642565211
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Bulawayo,Male,15 to 24 years old,PT,ZW_BA,36.59796352101081
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Harare,,15 to 24 years old,PT,ZW_HA,37.68083539198772
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Harare,Female,,PT,ZW_HA,0.0
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Harare,Female,15 to 24 years old,PT,ZW_HA,42.20754433815757
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Harare,Male,15 to 24 years old,PT,ZW_HA,32.126076064404224
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Manicaland,,15 to 24 years old,PT,ZW_MA,45.4659656632392
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Manicaland,Female,15 to 24 years old,PT,ZW_MA,49.93627981408934
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Manicaland,Male,15 to 24 years old,PT,ZW_MA,41.10512449129034
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Mashonaland Central,,15 to 24 years old,PT,ZW_MC,47.41867891637377
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Mashonaland Central,Female,15 to 24 years old,PT,ZW_MC,55.835960087233296
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Mashonaland Central,Male,15 to 24 years old,PT,ZW_MC,40.265448567655696
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Masholanad East,,15 to 24 years old,PT,ZW_ME,43.76511990649829
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Masholanad East,Female,15 to 24 years old,PT,ZW_ME,51.54889102087138
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Masholanad East,Male,15 to 24 years old,PT,ZW_ME,36.41777059728848
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Midlands,,15 to 24 years old,PT,ZW_MI,46.79541641495194
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Midlands,Female,15 to 24 years old,PT,ZW_MI,51.42363981576533
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Midlands,Male,15 to 24 years old,PT,ZW_MI,42.27888636438474
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Matabeland North,,15 to 24 years old,PT,ZW_MN,57.92165070469112
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Matabeland North,Female,15 to 24 years old,PT,ZW_MN,63.98608221156582
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Matabeland North,Male,15 to 24 years old,PT,ZW_MN,53.089171078117616
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Matabeland South,,15 to 24 years old,PT,ZW_MS,52.13311120095665
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Matabeland South,Female,15 to 24 years old,PT,ZW_MS,59.487885725705205
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Matabeland South,Male,15 to 24 years old,PT,ZW_MS,43.33612590649674
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Masvingo,,15 to 24 years old,PT,ZW_MV,44.83690054101584
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Masvingo,Female,15 to 24 years old,PT,ZW_MV,51.49580059565197
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Masvingo,Male,15 to 24 years old,PT,ZW_MV,38.49332781342717
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Mashonaland West,,15 to 24 years old,PT,ZW_MW,49.479182367932
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Mashonaland West,Female,15 to 24 years old,PT,ZW_MW,57.33022904133568
2023,Normal value,Units,Zimstat_QLFS,SL_TLF_NEET_19ICLS,Mashonaland West,Male,15 to 24 years old,PT,ZW_MW,42.50605296944796
