Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
2015,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
2016,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
2017,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
2018,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
2019,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
2020,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
2021,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
2023,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
2024,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]",,Boolean or binary measure,Normal value,Units,,1
