Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2022,"Proportion of total government spending on essential services, education [1.a.2]",,Percent,Normal value,Units,,17.6
2023,"Proportion of total government spending on essential services, education [1.a.2]",,Percent,Normal value,Units,,8.82
2024,"Proportion of total government spending on essential services, education [1.a.2]",,Percent,Normal value,Units,,20.82
2022,Proportion of total government spending on essential services [1.a.2],,Percent,Normal value,Units,,27.3
2023,Proportion of total government spending on essential services [1.a.2],,Percent,Normal value,Units,,14.73
2024,Proportion of total government spending on essential services [1.a.2],,Percent,Normal value,Units,,33.72
2022,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,Normal value,Units,,8.35
2023,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,Normal value,Units,,5.29
2024,"Proportion of total government spending on essential services, health [1.a.2]",,Percent,Normal value,Units,,12.86
2022,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,Normal value,Units,,1.42
2023,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,Normal value,Units,,0.62
2024,"Proportion of total government spending on essential services, social protection [1.a.2]",,Percent,Normal value,Units,,0.04
