Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Proportion of urban population living in slums [11.1.1],,Percent,Normal value,Units,,0.33
2022,Proportion of urban population living in slums [11.1.1],,Percent,Normal value,Units,,1.1
2022,Proportion of urban population living in slums [11.1.1],Bulawayo,Percent,Normal value,Units,ZW_BA,0.26
2022,Proportion of urban population living in slums [11.1.1],Harare,Percent,Normal value,Units,ZW_HA,1.45
2022,Proportion of urban population living in slums [11.1.1],Manicaland,Percent,Normal value,Units,ZW_MA,1.24
2022,Proportion of urban population living in slums [11.1.1],Mashonaland Central,Percent,Normal value,Units,ZW_MC,1.35
2022,Proportion of urban population living in slums [11.1.1],Masholanad East,Percent,Normal value,Units,ZW_ME,1.37
2022,Proportion of urban population living in slums [11.1.1],Midlands,Percent,Normal value,Units,ZW_MI,0.83
2022,Proportion of urban population living in slums [11.1.1],Matabeland North,Percent,Normal value,Units,ZW_MN,0.85
2022,Proportion of urban population living in slums [11.1.1],Matabeland South,Percent,Normal value,Units,ZW_MS,1.91
2022,Proportion of urban population living in slums [11.1.1],Masvingo,Percent,Normal value,Units,ZW_MV,0.26
2022,Proportion of urban population living in slums [11.1.1],Mashonaland West,Percent,Normal value,Units,ZW_MW,1.14
