Year,SERIES,Reference area,Sex,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2016,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,Normal value,Units,,166
2017,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,Normal value,Units,,14
2018,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,Normal value,Units,,3
2019,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,Normal value,Units,,4
2020,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,Normal value,Units,,2
2021,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,Normal value,Units,,0
2022,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,Normal value,Units,,127
2023,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,Normal value,Units,,4
2024,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,,Number,Normal value,Units,,12
2017,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Female,Number,Normal value,Units,,12
2023,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Female,Number,Normal value,Units,,2
2024,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Female,Number,Normal value,Units,,11
2017,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Male,Number,Normal value,Units,,2
2023,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Male,Number,Normal value,Units,,2
2024,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],,Male,Number,Normal value,Units,,1
