Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2015,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,20.54
2016,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,24.88
2017,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,9.98
2018,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,10.85
2019,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,10.93
2020,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,11.86
2021,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,17.52
2022,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,16.51
2023,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,16.7
2024,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,Normal value,Units,,13.8
