Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2015,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,,26.8
2019,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,,23.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,,Percent,,27.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,Rural,Percent,,28.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,,Urban,Percent,,23.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,Female,,Percent,,24.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],,Male,,Percent,,29.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Bulawayo,,,Percent,ZW_BA,21.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Harare,,,Percent,ZW_HA,26.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Manicaland,,,Percent,ZW_MA,30.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Mashonaland Central,,,Percent,ZW_MC,29.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Masholanad East,,,Percent,ZW_ME,27.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Midlands,,,Percent,ZW_MI,27.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Matabeland North,,,Percent,ZW_MN,22.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Matabeland South,,,Percent,ZW_MS,32.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Masvingo,,,Percent,ZW_MV,24.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely stunted [2.2.1],Mashonaland West,,,Percent,ZW_MW,24.3
