Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,Education level,UNIT_MEASURE,GeoCode,Value
2019,Normal value,Units,ZDHS 2023-24,Under-five mortality rate [3.2.1],,,,,"Per 1,000 live births",,65.0
2022,Normal value,Units,ZDHS 2023-24,Under-five mortality rate [3.2.1],,,,,"Per 1,000 live births",,39.7
2024,Normal value,Units,ZDHS 2023-24,Under-five mortality rate [3.2.1],,,,,"Per 1,000 live births",,69.0
2024,Normal value,Units,ZDHS 2023-24,Under-five mortality rate [3.2.1],,,Rural,,"Per 1,000 live births",,71.0
2024,Normal value,Units,ZDHS 2023-24,Under-five mortality rate [3.2.1],,,Urban,,"Per 1,000 live births",,66.0
2024,Normal value,Units,ZDHS 2023-24,Under-five mortality rate [3.2.1],,Female,,,"Per 1,000 live births",,61.0
2024,Normal value,Units,ZDHS 2023-24,Under-five mortality rate [3.2.1],,Male,,,"Per 1,000 live births",,77.0
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Bulawayo,,,,"Per 1,000 live births",ZW_BA,27.8
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Harare,,,,"Per 1,000 live births",ZW_HA,32.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Manicaland,,,,"Per 1,000 live births",ZW_MA,50.8
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Mashonaland Central,,,,"Per 1,000 live births",ZW_MC,41.6
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Mashonaland Central,,,Pre-primary education,"Per 1,000 live births",ZW_MC,41.6
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Masholanad East,,,,"Per 1,000 live births",ZW_ME,47.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Masholanad East,,,Primary education,"Per 1,000 live births",ZW_ME,47.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Midlands,,,,"Per 1,000 live births",ZW_MI,41.7
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Matabeland North,,,,"Per 1,000 live births",ZW_MN,30.2
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Matabeland South,,,,"Per 1,000 live births",ZW_MS,26.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Masvingo,,,,"Per 1,000 live births",ZW_MV,41.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Mashonaland West,,,,"Per 1,000 live births",ZW_MW,36.3
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],Mashonaland West,,,Lower secondary education,"Per 1,000 live births",ZW_MW,36.3
