Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Neonatal mortality rate [3.2.2],,,,"Per 1,000 live births",Normal value,Units,,32.0
2022,Neonatal mortality rate [3.2.2],,,,"Per 1,000 live births",Normal value,Units,,9.5
2024,Neonatal mortality rate [3.2.2],,,,"Per 1,000 live births",Normal value,Units,,37.0
2024,Neonatal mortality rate [3.2.2],,,Rural,"Per 1,000 live births",Normal value,Units,,38.0
2024,Neonatal mortality rate [3.2.2],,,Urban,"Per 1,000 live births",Normal value,Units,,35.0
2024,Neonatal mortality rate [3.2.2],,Female,,"Per 1,000 live births",Normal value,Units,,32.0
2024,Neonatal mortality rate [3.2.2],,Male,,"Per 1,000 live births",Normal value,Units,,41.0
2022,Neonatal mortality rate [3.2.2],Bulawayo,,,"Per 1,000 live births",Normal value,Units,ZW_BA,8.1
2022,Neonatal mortality rate [3.2.2],Harare,,,"Per 1,000 live births",Normal value,Units,ZW_HA,9.0
2022,Neonatal mortality rate [3.2.2],Manicaland,,,"Per 1,000 live births",Normal value,Units,ZW_MA,9.2
2022,Neonatal mortality rate [3.2.2],Mashonaland Central,,,"Per 1,000 live births",Normal value,Units,ZW_MC,10.7
2022,Neonatal mortality rate [3.2.2],Masholanad East,,,"Per 1,000 live births",Normal value,Units,ZW_ME,11.1
2022,Neonatal mortality rate [3.2.2],Midlands,,,"Per 1,000 live births",Normal value,Units,ZW_MI,10.2
2022,Neonatal mortality rate [3.2.2],Matabeland North,,,"Per 1,000 live births",Normal value,Units,ZW_MN,6.0
2022,Neonatal mortality rate [3.2.2],Matabeland South,,,"Per 1,000 live births",Normal value,Units,ZW_MS,5.3
2022,Neonatal mortality rate [3.2.2],Masvingo,,,"Per 1,000 live births",Normal value,Units,ZW_MV,9.9
2022,Neonatal mortality rate [3.2.2],Mashonaland West,,,"Per 1,000 live births",Normal value,Units,ZW_MW,9.8
