Year,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,,Percent,Normal value,Units,,91.0
2021,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,,Percent,Normal value,Units,,76.0
2022,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,,Percent,Normal value,Units,,80.0
2023,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,,Percent,Normal value,Units,,86.0
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,,Percent,Normal value,Units,,81.9
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,Rural,Percent,Normal value,Units,,81.6
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,Urban,Percent,Normal value,Units,,82.4
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Bulawayo,12 to 23 months,,Percent,Normal value,Units,ZW_BA,86.8
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Harare,12 to 23 months,,Percent,Normal value,Units,ZW_HA,84.7
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Manicaland,12 to 23 months,,Percent,Normal value,Units,ZW_MA,73.4
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Mashonaland Central,12 to 23 months,,Percent,Normal value,Units,ZW_MC,80.1
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Masholanad East,12 to 23 months,,Percent,Normal value,Units,ZW_ME,81.9
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Midlands,12 to 23 months,,Percent,Normal value,Units,ZW_MI,89.4
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Matabeland North,12 to 23 months,,Percent,Normal value,Units,ZW_MN,88.7
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Matabeland South,12 to 23 months,,Percent,Normal value,Units,ZW_MS,86.7
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Masvingo,12 to 23 months,,Percent,Normal value,Units,ZW_MV,87.6
2024,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],Mashonaland West,12 to 23 months,,Percent,Normal value,Units,ZW_MW,74.2
