Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2015,Normal value,Units,ZIMSTAT_women_and_men_report,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,,Percent,,31.9
2019,Normal value,Units,ZIMSTAT_women_and_men_report,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,,Percent,,37.7
2023,Normal value,Units,ZIMSTAT_women_and_men_report,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,,Percent,,37.0
2019,Normal value,Units,ZDHS_2023_24,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,20 to 24 years old,Percent,,5.4
2022,Normal value,Units,ZDHS_2023_24,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,20 to 24 years old,Percent,,16.2
2023,Normal value,Units,ZDHS_2023_24,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,20 to 24 years old,Percent,,18.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,20 to 24 years old,Percent,,32.8
2023,Normal value,Units,Parliamentary_of_Zimbabwe,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,35.0
2024,Normal value,Units,Parliamentary_of_Zimbabwe,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,,Percent,,35.0
2024,Normal value,Units,Parliamentary_of_Zimbabwe,Number of seats held by women in national parliaments [5.5.1],,Female,,Number,,127.0
2024,Normal value,Units,Parliamentary_of_Zimbabwe,Current number of seats in national parliaments [5.5.1],,Female,,Number,,360.0
