Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,,Percent,Normal value,Units,,67.0
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,,Percent,Normal value,Units,,60.9
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,Rural,Percent,Normal value,Units,,57.7
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,Urban,Percent,Normal value,Units,,65.5
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Bulawayo,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_BA,84.2
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Harare,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_HA,60.9
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Manicaland,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_MA,51.3
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Mashonaland Central,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_MC,64.2
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Masholanad East,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_ME,67.9
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Midlands,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_MI,57.4
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Matabeland North,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_MN,60.8
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Matabeland South,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_MS,76.6
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Masvingo,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_MV,65.3
2024,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",Mashonaland West,Female,15 to 49 years old,,Percent,Normal value,Units,ZW_MW,51.9
