Year,SERIES,Reference area,Sex,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Proportion of individuals who own a mobile telephone [5.b.1],,Female,Percent,Normal value,Units,,72.0
2024,Proportion of individuals who own a mobile telephone [5.b.1],,Female,Percent,Normal value,Units,,79.4
2019,Proportion of individuals who own a mobile telephone [5.b.1],,Male,Percent,Normal value,Units,,73.0
2024,Proportion of individuals who own a mobile telephone [5.b.1],,Male,Percent,Normal value,Units,,80.5
2024,Proportion of individuals who own a mobile telephone [5.b.1],Bulawayo,,Percent,Normal value,Units,ZW_BA,88.6
2024,Proportion of individuals who own a mobile telephone [5.b.1],Harare,,Percent,Normal value,Units,ZW_HA,90.3
2024,Proportion of individuals who own a mobile telephone [5.b.1],Manicaland,,Percent,Normal value,Units,ZW_MA,76.2
2024,Proportion of individuals who own a mobile telephone [5.b.1],Mashonaland Central,,Percent,Normal value,Units,ZW_MC,68.8
2024,Proportion of individuals who own a mobile telephone [5.b.1],Masholanad East,,Percent,Normal value,Units,ZW_ME,80.1
2024,Proportion of individuals who own a mobile telephone [5.b.1],Midlands,,Percent,Normal value,Units,ZW_MI,76.5
2024,Proportion of individuals who own a mobile telephone [5.b.1],Matabeland North,,Percent,Normal value,Units,ZW_MN,75.5
2024,Proportion of individuals who own a mobile telephone [5.b.1],Matabeland South,,Percent,Normal value,Units,ZW_MS,81.4
2024,Proportion of individuals who own a mobile telephone [5.b.1],Masvingo,,Percent,Normal value,Units,ZW_MV,76.7
2024,Proportion of individuals who own a mobile telephone [5.b.1],Mashonaland West,,Percent,Normal value,Units,ZW_MW,75.1
