Year,SERIES,Reference area,Sex,Disability status,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,,Percent,Normal value,Units,,19.1
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,,Percent,Normal value,Units,,20.7
2024,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,,Percent,Normal value,Units,,21.8
2024,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,,Persons with disability,Percent,Normal value,Units,,22.1
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Female,,Percent,Normal value,Units,,22.8
2024,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Female,,Percent,Normal value,Units,,24.6
2024,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Female,Persons with disability,Percent,Normal value,Units,,24.3
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Male,,Percent,Normal value,Units,,19.2
2024,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Male,,Percent,Normal value,Units,,19.7
2024,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",,Male,Persons with disability,Percent,Normal value,Units,,20.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Bulawayo,,,Percent,Normal value,Units,ZW_BA,22.016668167203555
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Bulawayo,Female,,Percent,Normal value,Units,ZW_BA,37.487781641499545
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Bulawayo,Male,,Percent,Normal value,Units,ZW_BA,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Harare,,,Percent,Normal value,Units,ZW_HA,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Harare,Male,,Percent,Normal value,Units,ZW_HA,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Manicaland,,,Percent,Normal value,Units,ZW_MA,11.572668772977703
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Manicaland,Female,,Percent,Normal value,Units,ZW_MA,29.20078406414178
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Manicaland,Male,,Percent,Normal value,Units,ZW_MA,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Mashonaland Central,,,Percent,Normal value,Units,ZW_MC,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Mashonaland Central,Female,,Percent,Normal value,Units,ZW_MC,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Mashonaland Central,Male,,Percent,Normal value,Units,ZW_MC,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Masholanad East,,,Percent,Normal value,Units,ZW_ME,9.393069621868705
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Masholanad East,Female,,Percent,Normal value,Units,ZW_ME,20.206243830147734
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Masholanad East,Male,,Percent,Normal value,Units,ZW_ME,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Midlands,,,Percent,Normal value,Units,ZW_MI,9.39086718263322
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Midlands,Female,,Percent,Normal value,Units,ZW_MI,18.817845632421022
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Midlands,Male,,Percent,Normal value,Units,ZW_MI,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Matabeland North,,,Percent,Normal value,Units,ZW_MN,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Matabeland North,Female,,Percent,Normal value,Units,ZW_MN,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Matabeland North,Male,,Percent,Normal value,Units,ZW_MN,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Matabeland South,,,Percent,Normal value,Units,ZW_MS,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Matabeland South,Female,,Percent,Normal value,Units,ZW_MS,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Matabeland South,Male,,Percent,Normal value,Units,ZW_MS,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Masvingo,,,Percent,Normal value,Units,ZW_MV,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Masvingo,Female,,Percent,Normal value,Units,ZW_MV,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Masvingo,Male,,Percent,Normal value,Units,ZW_MV,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Mashonaland West,,,Percent,Normal value,Units,ZW_MW,6.043063438707879
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Mashonaland West,Female,,Percent,Normal value,Units,ZW_MW,0.0
2023,"Unemployment rate, by sex and disability - 19th ICLS (%) [8.5.2]",Mashonaland West,Male,,Percent,Normal value,Units,ZW_MW,8.573055589970597
