Year,Observation status,Unit multiplier,Source details,Series,Reference area,Units,GeoCode,Value
2014,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
2015,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
2016,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
2017,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
2018,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
2019,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
2020,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
2021,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
2023,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
2024,Normal value,Units,MoSYC,SL_CPA_YEMP,,BOOL,,1
