Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,17.77,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2016,15.75,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2017,5.62,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2018,7.35,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2019,10.83,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2020,13.27,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2021,15.35,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2022,16.62,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2023,14.65,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2024,18.65,,Normal value,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
