Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,-3.3,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2016,-3.3,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2017,2.5,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2018,14.8,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2019,15.75,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2020,30.1,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2021,23.4,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2022,58.7,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2023,-4.9,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
2024,9.39,,Normal value,Units,Percent,Indicator of Food Price Anomalies (IFPA) [2.c.1]
