Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
2015,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
2016,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
2017,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
2018,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
2019,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
2020,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
2021,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
2023,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
2024,1,,Normal value,Units,Boolean or binary measure,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy [8.b.1]"
