Year,SOURCE_DETAIL,REF_AREA,SEX,AGE,GeoCode,Value
2023,ZIMSTAT,,,Y15T24,,45.4
2024,ZIMSTAT,,,Y15T24,,27.9
2023,Zimstat_QLFS,,F,Y15T24,,51.1
2023,Zimstat_QLFS,,M,Y15T24,,39.8
2023,Zimstat_QLFS,ZW_BA,,Y15T24,ZW_BA,39.798601920029824
2023,Zimstat_QLFS,ZW_BA,F,Y15T24,ZW_BA,42.36789642565211
2023,Zimstat_QLFS,ZW_BA,M,Y15T24,ZW_BA,36.59796352101081
2023,Zimstat_QLFS,ZW_HA,,Y15T24,ZW_HA,37.68083539198772
2023,Zimstat_QLFS,ZW_HA,F,,ZW_HA,0.0
2023,Zimstat_QLFS,ZW_HA,F,Y15T24,ZW_HA,42.20754433815757
2023,Zimstat_QLFS,ZW_HA,M,Y15T24,ZW_HA,32.126076064404224
2023,Zimstat_QLFS,ZW_MA,,Y15T24,ZW_MA,45.4659656632392
2023,Zimstat_QLFS,ZW_MA,F,Y15T24,ZW_MA,49.93627981408934
2023,Zimstat_QLFS,ZW_MA,M,Y15T24,ZW_MA,41.10512449129034
2023,Zimstat_QLFS,ZW_MC,,Y15T24,ZW_MC,47.41867891637377
2023,Zimstat_QLFS,ZW_MC,F,Y15T24,ZW_MC,55.835960087233296
2023,Zimstat_QLFS,ZW_MC,M,Y15T24,ZW_MC,40.265448567655696
2023,Zimstat_QLFS,ZW_ME,,Y15T24,ZW_ME,43.76511990649829
2023,Zimstat_QLFS,ZW_ME,F,Y15T24,ZW_ME,51.54889102087138
2023,Zimstat_QLFS,ZW_ME,M,Y15T24,ZW_ME,36.41777059728848
2023,Zimstat_QLFS,ZW_MI,,Y15T24,ZW_MI,46.79541641495194
2023,Zimstat_QLFS,ZW_MI,F,Y15T24,ZW_MI,51.42363981576533
2023,Zimstat_QLFS,ZW_MI,M,Y15T24,ZW_MI,42.27888636438474
2023,Zimstat_QLFS,ZW_MN,,Y15T24,ZW_MN,57.92165070469112
2023,Zimstat_QLFS,ZW_MN,F,Y15T24,ZW_MN,63.98608221156582
2023,Zimstat_QLFS,ZW_MN,M,Y15T24,ZW_MN,53.089171078117616
2023,Zimstat_QLFS,ZW_MS,,Y15T24,ZW_MS,52.13311120095665
2023,Zimstat_QLFS,ZW_MS,F,Y15T24,ZW_MS,59.487885725705205
2023,Zimstat_QLFS,ZW_MS,M,Y15T24,ZW_MS,43.33612590649674
2023,Zimstat_QLFS,ZW_MV,,Y15T24,ZW_MV,44.83690054101584
2023,Zimstat_QLFS,ZW_MV,F,Y15T24,ZW_MV,51.49580059565197
2023,Zimstat_QLFS,ZW_MV,M,Y15T24,ZW_MV,38.49332781342717
2023,Zimstat_QLFS,ZW_MW,,Y15T24,ZW_MW,49.479182367932
2023,Zimstat_QLFS,ZW_MW,F,Y15T24,ZW_MW,57.33022904133568
2023,Zimstat_QLFS,ZW_MW,M,Y15T24,ZW_MW,42.50605296944796
