Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,,,PT,,5.0
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,,,PT,,40.4
2023,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,,,PT,,37.1
2024,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,,,PT,,44.4
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,,R,PT,,53.1
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,,U,PT,,12.7
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_BA,,PT,ZW_BA,18.1
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_HA,,PT,ZW_HA,10.8
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_MA,,PT,ZW_MA,46.0
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_MC,,PT,ZW_MC,49.4
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_ME,,PT,ZW_ME,45.2
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_MI,,PT,ZW_MI,50.4
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_MN,,PT,ZW_MN,57.8
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_MS,,PT,ZW_MS,59.7
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_MV,,PT,ZW_MV,48.3
2019,A,0,ZIMSTAT_MISC,SI_COV_BENFTS,ZW_MW,,PT,ZW_MW,36.0
