Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2016,VC_VAW_DIST,,,NUMBER,A,0,,166
2017,VC_VAW_DIST,,,NUMBER,A,0,,14
2018,VC_VAW_DIST,,,NUMBER,A,0,,3
2019,VC_VAW_DIST,,,NUMBER,A,0,,4
2020,VC_VAW_DIST,,,NUMBER,A,0,,2
2021,VC_VAW_DIST,,,NUMBER,A,0,,0
2022,VC_VAW_DIST,,,NUMBER,A,0,,127
2023,VC_VAW_DIST,,,NUMBER,A,0,,4
2024,VC_VAW_DIST,,,NUMBER,A,0,,12
2017,VC_VAW_DIST,,F,NUMBER,A,0,,12
2023,VC_VAW_DIST,,F,NUMBER,A,0,,2
2024,VC_VAW_DIST,,F,NUMBER,A,0,,11
2017,VC_VAW_DIST,,M,NUMBER,A,0,,2
2023,VC_VAW_DIST,,M,NUMBER,A,0,,2
2024,VC_VAW_DIST,,M,NUMBER,A,0,,1
