Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,,,,PT,,29.3
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,,,,PT,,34.2
2019,A,0,ZIMSTAT_MICS_Report_2019,IT_USE_II99,,,R,PT,,19.9
2019,A,0,ZIMSTAT_MICS_Report_2019,IT_USE_II99,,,U,PT,,50.1
2014,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,,F,,PT,,16.4
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,,F,,PT,,30.3
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,,F,,PT,,34.2
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_BA,,,PT,ZW_BA,39.6
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_BA,,,PT,ZW_BA,60.3
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_BA,,,PT,ZW_BA,38.6
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_HA,,,PT,ZW_HA,46.4
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_HA,,,PT,ZW_HA,53.8
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_HA,,,PT,ZW_HA,54.4
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MA,,,PT,ZW_MA,32.6
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MA,,,PT,ZW_MA,17.8
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MA,,,PT,ZW_MA,27.4
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MC,,,PT,ZW_MC,16.1
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MC,,,PT,ZW_MC,15.6
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MC,,,PT,ZW_MC,16.8
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_ME,,,PT,ZW_ME,40.3
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_ME,,,PT,ZW_ME,21.7
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_ME,,,PT,ZW_ME,25.4
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MI,,,PT,ZW_MI,32.2
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MI,,,PT,ZW_MI,25.0
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MI,,,PT,ZW_MI,32.8
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MN,,,PT,ZW_MN,7.5
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MN,,,PT,ZW_MN,22.0
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MN,,,PT,ZW_MN,21.8
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MS,,,PT,ZW_MS,36.2
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MS,,,PT,ZW_MS,34.4
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MS,,,PT,ZW_MS,35.0
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MV,,,PT,ZW_MV,17.9
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MV,,,PT,ZW_MV,20.0
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MV,,,PT,ZW_MV,43.0
2019,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MW,,,PT,ZW_MW,21.2
2020,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MW,,,PT,ZW_MW,22.8
2022,A,0,ZIMSTAT_Population_and_Housing_Census_Report_2022,IT_USE_II99,ZW_MW,,,PT,ZW_MW,31.8
