Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2015,SH_STA_BRTC,,,PT,A,0,,78.0
2019,SH_STA_BRTC,,,PT,A,0,,84.0
2023,SH_STA_BRTC,,,PT,A,0,,88.0
2024,SH_STA_BRTC,,,PT,A,0,,84.6
2024,SH_STA_BRTC,,R,PT,A,0,,89.7
2024,SH_STA_BRTC,,U,PT,A,0,,95.3
2024,SH_STA_BRTC,ZW_BA,,PT,A,0,ZW_BA,95.6
2024,SH_STA_BRTC,ZW_HA,,PT,A,0,ZW_HA,95.6
2024,SH_STA_BRTC,ZW_MA,,PT,A,0,ZW_MA,68.0
2024,SH_STA_BRTC,ZW_MC,,PT,A,0,ZW_MC,84.2
2024,SH_STA_BRTC,ZW_ME,,PT,A,0,ZW_ME,85.1
2024,SH_STA_BRTC,ZW_MI,,PT,A,0,ZW_MI,84.3
2024,SH_STA_BRTC,ZW_MN,,PT,A,0,ZW_MN,94.1
2024,SH_STA_BRTC,ZW_MS,,PT,A,0,ZW_MS,88.8
2024,SH_STA_BRTC,ZW_MV,,PT,A,0,ZW_MV,86.0
2024,SH_STA_BRTC,ZW_MW,,PT,A,0,ZW_MW,82.2
