Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2015,SH_FPL_MTMM,,F,Y15T49,,PT,A,0,,86.0
2021,SH_FPL_MTMM,,F,Y15T49,,PT,A,0,,87.5
2023,SH_FPL_MTMM,,F,Y15T49,,PT,A,0,,84.6
2024,SH_FPL_MTMM,,F,Y15T49,,PT,A,0,,87.4
2024,SH_FPL_MTMM,,F,Y15T49,R,PT,A,0,,85.8
2024,SH_FPL_MTMM,,F,Y15T49,U,PT,A,0,,89.7
2024,SH_FPL_MTMM,ZW_BA,F,Y15T49,,PT,A,0,ZW_BA,82.7
2024,SH_FPL_MTMM,ZW_HA,F,Y15T49,,PT,A,0,ZW_HA,90.8
2024,SH_FPL_MTMM,ZW_MA,F,Y15T49,,PT,A,0,ZW_MA,81.8
2024,SH_FPL_MTMM,ZW_MC,F,Y15T49,,PT,A,0,ZW_MC,89.7
2024,SH_FPL_MTMM,ZW_ME,F,Y15T49,,PT,A,0,ZW_ME,90.3
2024,SH_FPL_MTMM,ZW_MI,F,Y15T49,,PT,A,0,ZW_MI,87.3
2024,SH_FPL_MTMM,ZW_MN,F,Y15T49,,PT,A,0,ZW_MN,89.8
2024,SH_FPL_MTMM,ZW_MS,F,Y15T49,,PT,A,0,ZW_MS,87.7
2024,SH_FPL_MTMM,ZW_MV,F,Y15T49,,PT,A,0,ZW_MV,84.9
2024,SH_FPL_MTMM,ZW_MW,F,Y15T49,,PT,A,0,ZW_MW,87.1
