Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2015,SG_GEN_LOCGELS,,F,,PT,A,0,,31.9
2019,SG_GEN_LOCGELS,,F,,PT,A,0,,37.7
2023,SG_GEN_LOCGELS,,F,,PT,A,0,,37.0
2019,SG_GEN_LOCGELS,,F,Y20T24,PT,A,0,,5.4
2022,SG_GEN_LOCGELS,,F,Y20T24,PT,A,0,,16.2
2023,SG_GEN_LOCGELS,,F,Y20T24,PT,A,0,,18.9
2024,SG_GEN_LOCGELS,,F,Y20T24,PT,A,0,,32.8
2023,SG_GEN_PARL,,F,,PT,A,0,,35.0
2024,SG_GEN_PARL,,F,,PT,A,0,,35.0
2024,SG_GEN_PARLN,,F,,NUMBER,A,0,,127.0
2024,SG_GEN_PARLNT,,F,,NUMBER,A,0,,360.0
