Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,DISABILITY_STATUS,UNIT_MEASURE,GeoCode,Value
2019,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,,,PT,,19.1
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,,,PT,,20.7
2024,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,,,PT,,21.8
2024,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,,PD,PT,,22.1
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,F,,PT,,22.8
2024,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,F,,PT,,24.6
2024,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,F,PD,PT,,24.3
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,M,,PT,,19.2
2024,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,M,,PT,,19.7
2024,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,M,PD,PT,,20.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_BA,,,PT,ZW_BA,22.016668167203555
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_BA,F,,PT,ZW_BA,37.487781641499545
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_BA,M,,PT,ZW_BA,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_HA,,,PT,ZW_HA,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_HA,M,,PT,ZW_HA,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MA,,,PT,ZW_MA,11.572668772977703
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MA,F,,PT,ZW_MA,29.20078406414178
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MA,M,,PT,ZW_MA,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MC,,,PT,ZW_MC,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MC,F,,PT,ZW_MC,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MC,M,,PT,ZW_MC,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_ME,,,PT,ZW_ME,9.393069621868705
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_ME,F,,PT,ZW_ME,20.206243830147734
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_ME,M,,PT,ZW_ME,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MI,,,PT,ZW_MI,9.39086718263322
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MI,F,,PT,ZW_MI,18.817845632421022
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MI,M,,PT,ZW_MI,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MN,,,PT,ZW_MN,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MN,F,,PT,ZW_MN,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MN,M,,PT,ZW_MN,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MS,,,PT,ZW_MS,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MS,F,,PT,ZW_MS,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MS,M,,PT,ZW_MS,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MV,,,PT,ZW_MV,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MV,F,,PT,ZW_MV,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MV,M,,PT,ZW_MV,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MW,,,PT,ZW_MW,6.043063438707879
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MW,F,,PT,ZW_MW,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MW,M,,PT,ZW_MW,8.573055589970597
