Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2009,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,10.77925292538384
2010,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,15.599746751843954
2011,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,15.552482356251456
2012,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,14.043402243513045
2013,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,13.68667748115296
2014,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,12.688281778215964
2015,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,12.491328600067485
2016,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,12.46642630785706
2017,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,12.061130060336104
2018,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,14.934874013195795
2019,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,14.222359751223692
2020,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,12.574882894728376
2021,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,11.732142339439504
2022,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,11.203113549009586
2023,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,,10.861970847026
