Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2011,SI_POV_DAY1,,,,,PT,A,0,,21.6
2017,SI_POV_DAY1,,,,,PT,A,0,,34.2
2019,SI_POV_DAY1,,,,,PT,A,0,,39.8
2017,SI_POV_DAY1,,,,R,PT,A,0,,47.92728
2019,SI_POV_DAY1,,,,R,PT,A,0,,52.61328
2017,SI_POV_DAY1,,,,U,PT,A,0,,4.78471
2019,SI_POV_DAY1,,,,U,PT,A,0,,10.98269
2017,SI_POV_DAY1,,,Y_GE65,,PT,A,0,,29.6625
2019,SI_POV_DAY1,,,Y_GE65,,PT,A,0,,33.05316
2017,SI_POV_DAY1,,,Y0T15,,PT,A,0,,41.19563
2019,SI_POV_DAY1,,,Y0T15,,PT,A,0,,47.24313
2017,SI_POV_DAY1,,,Y15T64,,PT,A,0,,29.73578
2019,SI_POV_DAY1,,,Y15T64,,PT,A,0,,34.9821
2017,SI_POV_DAY1,,F,,,PT,A,0,,34.27809
2019,SI_POV_DAY1,,F,,,PT,A,0,,39.44854
2017,SI_POV_DAY1,,M,,,PT,A,0,,34.54693
2019,SI_POV_DAY1,,M,,,PT,A,0,,40.08752
2011,SI_POV_EMP1,,,Y_GE15,,PT,A,0,,19.23
2017,SI_POV_EMP1,,,Y_GE15,,PT,A,0,,30.53
2019,SI_POV_EMP1,,,Y_GE15,,PT,A,0,,35.63
2011,SI_POV_EMP1,,,Y_GE25,,PT,A,0,,16.83
2017,SI_POV_EMP1,,,Y_GE25,,PT,A,0,,27.88
2019,SI_POV_EMP1,,,Y_GE25,,PT,A,0,,33.2
2011,SI_POV_EMP1,,,Y15T24,,PT,A,0,,25.93
2017,SI_POV_EMP1,,,Y15T24,,PT,A,0,,38.48
2019,SI_POV_EMP1,,,Y15T24,,PT,A,0,,43.05
2011,SI_POV_EMP1,,F,Y_GE15,,PT,A,0,,20.04
2017,SI_POV_EMP1,,F,Y_GE15,,PT,A,0,,32.79
2019,SI_POV_EMP1,,F,Y_GE15,,PT,A,0,,38.53
2011,SI_POV_EMP1,,F,Y_GE25,,PT,A,0,,19.12
2017,SI_POV_EMP1,,F,Y_GE25,,PT,A,0,,31.97
2019,SI_POV_EMP1,,F,Y_GE25,,PT,A,0,,37.92
2011,SI_POV_EMP1,,F,Y15T24,,PT,A,0,,22.99
2017,SI_POV_EMP1,,F,Y15T24,,PT,A,0,,35.68
2019,SI_POV_EMP1,,F,Y15T24,,PT,A,0,,40.73
2011,SI_POV_EMP1,,M,Y_GE15,,PT,A,0,,18.42
2017,SI_POV_EMP1,,M,Y_GE15,,PT,A,0,,28.23
2019,SI_POV_EMP1,,M,Y_GE15,,PT,A,0,,32.65
2011,SI_POV_EMP1,,M,Y_GE25,,PT,A,0,,14.37
2017,SI_POV_EMP1,,M,Y_GE25,,PT,A,0,,23.38
2019,SI_POV_EMP1,,M,Y_GE25,,PT,A,0,,27.92
2011,SI_POV_EMP1,,M,Y15T24,,PT,A,0,,28.31
2017,SI_POV_EMP1,,M,Y15T24,,PT,A,0,,40.72
2019,SI_POV_EMP1,,M,Y15T24,,PT,A,0,,44.89
