Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2010,NY_GDP_MKTP_KD_ZG,,PT,A,0,,19.7
2011,NY_GDP_MKTP_KD_ZG,,PT,A,0,,14.2
2012,NY_GDP_MKTP_KD_ZG,,PT,A,0,,16.7
2013,NY_GDP_MKTP_KD_ZG,,PT,A,0,,2.0
2014,NY_GDP_MKTP_KD_ZG,,PT,A,0,,2.4
2015,NY_GDP_MKTP_KD_ZG,,PT,A,0,,1.8
2016,NY_GDP_MKTP_KD_ZG,,PT,A,0,,0.8
2017,NY_GDP_MKTP_KD_ZG,,PT,A,0,,4.7
2018,NY_GDP_MKTP_KD_ZG,,PT,A,0,,4.8
2019,NY_GDP_MKTP_KD_ZG,,PT,A,0,,-6.3
2020,NY_GDP_MKTP_KD_ZG,,PT,A,0,,-7.8
2021,NY_GDP_MKTP_KD_ZG,,PT,A,0,,8.5
2022,NY_GDP_MKTP_KD_ZG,,PT,A,0,,7.4
2023,NY_GDP_MKTP_KD_ZG,,PT,A,0,,5.3
