Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2019,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,A,0,,65.0
2022,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,A,0,,39.7
2024,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,A,0,,69.0
2024,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,A,0,,71.0
2024,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,A,0,,66.0
2024,SH_DYN_MORT,,F,,PER_1000_LIVE_BIRTHS,A,0,,61.0
2024,SH_DYN_MORT,,M,,PER_1000_LIVE_BIRTHS,A,0,,77.0
2022,SH_DYN_MORT,ZW_BA,,,PER_1000_LIVE_BIRTHS,A,0,ZW_BA,27.8
2022,SH_DYN_MORT,ZW_HA,,,PER_1000_LIVE_BIRTHS,A,0,ZW_HA,32.5
2022,SH_DYN_MORT,ZW_MA,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MA,50.8
2022,SH_DYN_MORT,ZW_MC,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MC,41.6
2022,SH_DYN_MORT,ZW_ME,,,PER_1000_LIVE_BIRTHS,A,0,ZW_ME,47.5
2022,SH_DYN_MORT,ZW_MI,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MI,41.7
2022,SH_DYN_MORT,ZW_MN,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MN,30.2
2022,SH_DYN_MORT,ZW_MS,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MS,26.5
2022,SH_DYN_MORT,ZW_MV,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MV,41.5
2022,SH_DYN_MORT,ZW_MW,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MW,36.3
