Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2019,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,A,0,,32.0
2022,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,A,0,,9.5
2024,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,A,0,,37.0
2024,SH_DYN_NMRT,,,R,PER_1000_LIVE_BIRTHS,A,0,,38.0
2024,SH_DYN_NMRT,,,U,PER_1000_LIVE_BIRTHS,A,0,,35.0
2024,SH_DYN_NMRT,,F,,PER_1000_LIVE_BIRTHS,A,0,,32.0
2024,SH_DYN_NMRT,,M,,PER_1000_LIVE_BIRTHS,A,0,,41.0
2022,SH_DYN_NMRT,ZW_BA,,,PER_1000_LIVE_BIRTHS,A,0,ZW_BA,8.1
2022,SH_DYN_NMRT,ZW_HA,,,PER_1000_LIVE_BIRTHS,A,0,ZW_HA,9.0
2022,SH_DYN_NMRT,ZW_MA,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MA,9.2
2022,SH_DYN_NMRT,ZW_MC,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MC,10.7
2022,SH_DYN_NMRT,ZW_ME,,,PER_1000_LIVE_BIRTHS,A,0,ZW_ME,11.1
2022,SH_DYN_NMRT,ZW_MI,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MI,10.2
2022,SH_DYN_NMRT,ZW_MN,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MN,6.0
2022,SH_DYN_NMRT,ZW_MS,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MS,5.3
2022,SH_DYN_NMRT,ZW_MV,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MV,9.9
2022,SH_DYN_NMRT,ZW_MW,,,PER_1000_LIVE_BIRTHS,A,0,ZW_MW,9.8
