Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2019,SE_TOT_PRFL,,,,PT,A,0,,61.1
2021,SE_TOT_PRFL,,,,PT,A,0,,72.1
2022,SE_TOT_PRFL,,,,PT,A,0,,75.3
2023,SE_TOT_PRFL,,,,PT,A,0,,70.1
2019,SE_TOT_PRFL,,,AGG_0_1,PT,A,0,,60.1
2019,SE_TOT_PRFL,,F,,PT,A,0,,66.1
2021,SE_TOT_PRFL,,F,,PT,A,0,,73.5
2022,SE_TOT_PRFL,,F,,PT,A,0,,78.0
2023,SE_TOT_PRFL,,F,,PT,A,0,,72.7
2019,SE_TOT_PRFL,,F,AGG_0_1,PT,A,0,,63.1
2019,SE_TOT_PRFL,,M,,PT,A,0,,55.7
2021,SE_TOT_PRFL,,M,,PT,A,0,,70.6
2022,SE_TOT_PRFL,,M,,PT,A,0,,73.0
2023,SE_TOT_PRFL,,M,,PT,A,0,,67.3
2019,SE_TOT_PRFL,,M,AGG_0_1,PT,A,0,,56.9
