Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,A,0,ZDHS_2023_24,SH_FPL_INFM,,F,Y15T49,,PT,,67.0
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,,F,Y15T49,,PT,,60.9
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,,F,Y15T49,R,PT,,57.7
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,,F,Y15T49,U,PT,,65.5
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_BA,F,Y15T49,,PT,ZW_BA,84.2
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_HA,F,Y15T49,,PT,ZW_HA,60.9
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_MA,F,Y15T49,,PT,ZW_MA,51.3
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_MC,F,Y15T49,,PT,ZW_MC,64.2
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_ME,F,Y15T49,,PT,ZW_ME,67.9
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_MI,F,Y15T49,,PT,ZW_MI,57.4
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_MN,F,Y15T49,,PT,ZW_MN,60.8
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_MS,F,Y15T49,,PT,ZW_MS,76.6
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_MV,F,Y15T49,,PT,ZW_MV,65.3
2024,A,0,ZDHS_2023_24,SH_FPL_INFM,ZW_MW,F,Y15T49,,PT,ZW_MW,51.9
