Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2019,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,,F,PT,,72.0
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,,F,PT,,79.4
2019,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,,M,PT,,73.0
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,,M,PT,,80.5
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_BA,,PT,ZW_BA,88.6
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_HA,,PT,ZW_HA,90.3
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_MA,,PT,ZW_MA,76.2
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_MC,,PT,ZW_MC,68.8
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_ME,,PT,ZW_ME,80.1
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_MI,,PT,ZW_MI,76.5
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_MN,,PT,ZW_MN,75.5
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_MS,,PT,ZW_MS,81.4
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_MV,,PT,ZW_MV,76.7
2024,A,0,ZIMSTAT ZDHS_2023-24,IT_MOB_OWN,ZW_MW,,PT,ZW_MW,75.1
