Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2019,EG_ACS_ELEC,,,PT,A,0,,55.3
2022,EG_ACS_ELEC,,,PT,A,0,,61.48422487662142
2019,EG_ACS_ELEC,,R,PT,A,0,,39.2
2022,EG_ACS_ELEC,,R,PT,A,0,,55.16670164368102
2019,EG_ACS_ELEC,,U,PT,A,0,,90.1
2022,EG_ACS_ELEC,,U,PT,A,0,,70.39773778310068
2019,EG_ACS_ELEC,ZW_BA,,PT,A,0,ZW_BA,93.5
2022,EG_ACS_ELEC,ZW_BA,,PT,A,0,ZW_BA,93.78399247968844
2019,EG_ACS_ELEC,ZW_HA,,PT,A,0,ZW_HA,87.9
2022,EG_ACS_ELEC,ZW_HA,,PT,A,0,ZW_HA,87.31311882513691
2019,EG_ACS_ELEC,ZW_MA,,PT,A,0,ZW_MA,37.5
2022,EG_ACS_ELEC,ZW_MA,,PT,A,0,ZW_MA,50.16433731202616
2019,EG_ACS_ELEC,ZW_MC,,PT,A,0,ZW_MC,36.2
2022,EG_ACS_ELEC,ZW_MC,,PT,A,0,ZW_MC,51.03351905689536
2019,EG_ACS_ELEC,ZW_ME,,PT,A,0,ZW_ME,44.3
2022,EG_ACS_ELEC,ZW_ME,,PT,A,0,ZW_ME,56.33491360075641
2019,EG_ACS_ELEC,ZW_MI,,PT,A,0,ZW_MI,52.7
2022,EG_ACS_ELEC,ZW_MI,,PT,A,0,ZW_MI,57.80067417159576
2019,EG_ACS_ELEC,ZW_MN,,PT,A,0,ZW_MN,42.4
2022,EG_ACS_ELEC,ZW_MN,,PT,A,0,ZW_MN,42.039152367294136
2019,EG_ACS_ELEC,ZW_MS,,PT,A,0,ZW_MS,51.0
2022,EG_ACS_ELEC,ZW_MS,,PT,A,0,ZW_MS,45.54849788959696
2019,EG_ACS_ELEC,ZW_MV,,PT,A,0,ZW_MV,52.7
2022,EG_ACS_ELEC,ZW_MV,,PT,A,0,ZW_MV,56.74613770741942
2019,EG_ACS_ELEC,ZW_MW,,PT,A,0,ZW_MW,57.2
2022,EG_ACS_ELEC,ZW_MW,,PT,A,0,ZW_MW,60.07989461621668
